# mark data_count fit_count residual
179 4.7550000000e+03 4.8790937742e+03 -1.2409377418e+02
180 6.5860000000e+03 4.9106400884e+03 1.6753599116e+03
181 5.0440000000e+03 4.6541524024e+03 3.8984759756e+02
182 4.7680000000e+03 4.7459639155e+03 2.2036084506e+01
183 4.6890000000e+03 4.8077521145e+03 -1.1875211451e+02
184 4.7920000000e+03 4.8407127633e+03 -4.8712763267e+01
185 6.2660000000e+03 4.5854270019e+03 1.6805729981e+03
186 4.7360000000e+03 4.6814935599e+03 5.4506440146e+01
187 4.6240000000e+03 4.7463718307e+03 -1.2237183071e+02
188 4.5600000000e+03 4.7816902659e+03 -2.2169026593e+02
189 4.4220000000e+03 4.5237048515e+03 -1.0170485153e+02
190 6.0030000000e+03 4.6251891716e+03 1.3778108284e+03
191 4.6430000000e+03 4.6925289782e+03 -4.9528978193e+01
192 4.4550000000e+03 4.7296036814e+03 -2.7460368137e+02
193 4.4500000000e+03 4.4703262634e+03 -2.0326263417e+01
194 4.3050000000e+03 4.5727441847e+03 -2.6774418472e+02
195 5.6670000000e+03 4.6440368171e+03 1.0229631829e+03
196 4.4840000000e+03 4.6823299450e+03 -1.9832994495e+02
197 4.3160000000e+03 4.4214029326e+03 -1.0540293261e+02
198 4.4330000000e+03 4.5263358681e+03 -9.3335868052e+01
199 4.3040000000e+03 4.5966360994e+03 -2.9263609937e+02
200 5.5630000000e+03 4.6380173977e+03 9.2498260231e+02
201 4.4010000000e+03 4.3751586904e+03 2.5841309603e+01
202 4.3610000000e+03 4.4821525704e+03 -1.2115257041e+02
203 4.2560000000e+03 4.5534206057e+03 -2.9742060570e+02
204 4.1540000000e+03 4.5924494019e+03 -4.3844940193e+02
205 5.2110000000e+03 4.3300966356e+03 8.8090336439e+02
206 4.3250000000e+03 4.4387632415e+03 -1.1376324154e+02
207 4.1820000000e+03 4.5106336040e+03 -3.2863360399e+02
208 4.0760000000e+03 4.5496883533e+03 -4.7368835332e+02
209 4.0910000000e+03 4.2820155264e+03 -1.9101552641e+02
210 5.0260000000e+03 4.3950057336e+03 6.3099426644e+02
211 4.1360000000e+03 4.4671763304e+03 -3.3117633039e+02
212 4.0200000000e+03 4.5059876735e+03 -4.8598767350e+02
213 4.0210000000e+03 4.2359828768e+03 -2.1498287682e+02
214 3.9560000000e+03 4.3466352121e+03 -3.9063521206e+02
215 4.9950000000e+03 4.4221958035e+03 5.7280419655e+02
216 3.8860000000e+03 4.4605519047e+03 -5.7455190471e+02
217 3.9420000000e+03 4.1882061948e+03 -2.4620619483e+02
218 3.9410000000e+03 4.2997361626e+03 -3.5873616256e+02
219 3.9050000000e+03 4.3713443798e+03 -4.6634437979e+02
220 4.9060000000e+03 4.4128009209e+03 4.9319907914e+02
221 3.9510000000e+03 4.1381582298e+03 -1.8715822975e+02
222 3.8480000000e+03 4.2503956924e+03 -4.0239569243e+02
223 3.7050000000e+03 4.3217379631e+03 -6.1673796305e+02
224 3.7440000000e+03 4.3582197735e+03 -6.1421977349e+02
225 4.6280000000e+03 4.0854931312e+03 5.4250686877e+02
226 4.0140000000e+03 4.1983066798e+03 -1.8430667983e+02
227 3.7770000000e+03 4.2692756648e+03 -4.9227566485e+02
228 3.7820000000e+03 4.3049659770e+03 -5.2296597700e+02
229 3.7030000000e+03 4.0254661646e+03 -3.2246616462e+02
230 4.4770000000e+03 4.1433103558e+03 3.3368964417e+02
231 3.7290000000e+03 4.2138312677e+03 -4.8483126774e+02
232 3.6690000000e+03 4.2486839262e+03 -5.7968392623e+02
233 3.7000000000e+03 3.9672867037e+03 -2.6728670367e+02
234 3.6520000000e+03 4.0803663953e+03 -4.2836639526e+02
235 4.3380000000e+03 4.1553961756e+03 1.8260382438e+02
236 3.5670000000e+03 4.1893910402e+03 -6.2239104020e+02
237 3.4820000000e+03 3.9062828798e+03 -4.2428287981e+02
238 3.5640000000e+03 4.0197401101e+03 -4.5574011010e+02
239 3.5280000000e+03 4.0885819987e+03 -5.6058199865e+02
240 4.1620000000e+03 4.1271950744e+03 3.4804925600e+01
241 3.6550000000e+03 3.8425829724e+03 -1.8758297242e+02
242 3.5750000000e+03 3.9563830147e+03 -3.8138301473e+02
243 3.5330000000e+03 4.0247204670e+03 -4.9172046702e+02
244 3.5070000000e+03 4.0563135950e+03 -5.4931359503e+02
245 4.0590000000e+03 3.7763817971e+03 2.8261820291e+02
246 3.5060000000e+03 3.8905023313e+03 -3.8450233135e+02
247 3.4620000000e+03 3.9583391233e+03 -4.9633912328e+02
248 3.4520000000e+03 3.9891532693e+03 -5.3715326930e+02
249 3.2840000000e+03 3.7014644232e+03 -4.1746442321e+02
250 4.1170000000e+03 3.8223525387e+03 2.9464746126e+02
251 3.5080000000e+03 3.8897021984e+03 -3.8170219837e+02
252 3.3970000000e+03 3.9197767307e+03 -5.2277673066e+02
253 3.3760000000e+03 3.6313177739e+03 -2.5531777386e+02
254 3.3810000000e+03 3.7452542362e+03 -3.6425423622e+02
255 3.9050000000e+03 3.8191054844e+03 8.5894515584e+01
256 3.3420000000e+03 3.8484864694e+03 -5.0648646940e+02
257 3.3020000000e+03 3.5595048057e+03 -2.5750480571e+02
258 3.3400000000e+03 3.6737754045e+03 -3.3377540447e+02
259 3.2550000000e+03 3.7393853855e+03 -4.8438538546e+02
260 3.7190000000e+03 3.7756039329e+03 -5.6603932925e+01
261 3.3280000000e+03 3.4863494487e+03 -1.5834944873e+02
262 3.2230000000e+03 3.6009521935e+03 -3.7795219349e+02
263 3.2330000000e+03 3.6661899207e+03 -4.3318992071e+02
264 3.2910000000e+03 3.6934684226e+03 -4.0246842264e+02
265 3.7490000000e+03 3.4121842156e+03 3.3681578440e+02
266 3.2940000000e+03 3.5271173175e+03 -2.3311731754e+02
267 3.1720000000e+03 3.5920114626e+03 -4.2001146260e+02
268 3.0470000000e+03 3.6187990952e+03 -5.7179909515e+02
269 3.2080000000e+03 3.3288436254e+03 -1.2084362539e+02
270 3.6650000000e+03 3.4526043608e+03 2.1239563920e+02
271 3.2540000000e+03 3.5171835284e+03 -2.6318352844e+02
272 3.1200000000e+03 3.5435335952e+03 -4.2353359517e+02
273 3.0970000000e+03 3.2540983122e+03 -1.5709831216e+02
274 3.2300000000e+03 3.3687456647e+03 -1.3874566470e+02
275 3.6100000000e+03 3.4420344353e+03 1.6796556472e+02
276 3.1460000000e+03 3.4679990103e+03 -3.2199901031e+02
277 3.0520000000e+03 3.1793242791e+03 -1.2732427908e+02
278 2.9980000000e+03 3.2943383923e+03 -2.9633839225e+02
279 2.9790000000e+03 3.3574050709e+03 -3.7840507090e+02
280 3.4160000000e+03 3.3925124496e+03 2.3487550386e+01
281 2.9970000000e+03 3.1048331447e+03 -1.0783314467e+02
282 2.9730000000e+03 3.2202015538e+03 -2.4720155376e+02
283 2.9420000000e+03 3.2830848210e+03 -3.4108482096e+02
284 3.0540000000e+03 3.3074396728e+03 -2.5343967279e+02
285 3.5040000000e+03 3.0309225427e+03 4.7307745727e+02
286 3.0310000000e+03 3.1466287815e+03 -1.1562878147e+02
287 2.8540000000e+03 3.2093471633e+03 -3.5534716331e+02
288 2.8510000000e+03 3.2335164866e+03 -3.8251648656e+02
289 2.9440000000e+03 2.9475021222e+03 -3.5021222319e+00
290 3.3510000000e+03 3.0738970151e+03 2.7710298490e+02
291 2.9300000000e+03 3.1364655220e+03 -2.0646552200e+02
292 2.8800000000e+03 3.1604879308e+03 -2.8048793081e+02
293 2.8390000000e+03 2.8761937915e+03 -3.7193791511e+01
294 2.6710000000e+03 2.9914917163e+03 -3.2049171634e+02
295 3.3040000000e+03 3.0646945408e+03 2.3930545919e+02
296 2.7590000000e+03 3.0886046058e+03 -3.2960460584e+02
297 2.9420000000e+03 2.8062337174e+03 1.3576628265e+02
298 2.8290000000e+03 2.9218575358e+03 -9.2857535841e+01
299 2.8260000000e+03 2.9831314945e+03 -1.5713149453e+02
300 3.2040000000e+03 3.0180967807e+03 1.8590321929e+02
301 2.8620000000e+03 2.7378433411e+03 1.2415665887e+02
302 2.6790000000e+03 2.8537557789e+03 -1.7475577894e+02
303 2.7410000000e+03 2.9149681413e+03 -1.7396814130e+02
304 2.7940000000e+03 2.9377137521e+03 -1.4371375214e+02
305 3.1940000000e+03 2.6712225375e+03 5.2277746254e+02
306 2.7800000000e+03 2.7873814954e+03 -7.3814953711e+00
307 2.7460000000e+03 2.8485284258e+03 -1.0252842585e+02
308 2.5770000000e+03 2.8713081872e+03 -2.9430818716e+02
309 2.8200000000e+03 2.5948129956e+03 2.2518700442e+02
310 3.0080000000e+03 2.7229077106e+03 2.8509228939e+02
311 2.7920000000e+03 2.7839811293e+03 8.0188706727e+00
312 2.6640000000e+03 2.8068088951e+03 -1.4280889511e+02
313 2.5980000000e+03 2.5330287029e+03 6.4971297077e+01
314 2.6400000000e+03 2.6485226171e+03 -8.5226170661e+00
315 2.8860000000e+03 2.7214728476e+03 1.6452715235e+02
316 2.6500000000e+03 2.7443579396e+03 -9.4357939600e+01
317 2.6450000000e+03 2.4734460020e+03 1.7155399803e+02
318 2.6200000000e+03 2.5891043194e+03 3.0895680559e+01
319 2.6600000000e+03 2.6489919191e+03 1.1008080888e+01
320 3.0190000000e+03 2.6840753441e+03 3.3492465589e+02
321 2.6910000000e+03 2.4161752643e+03 2.7482473575e+02
322 2.5460000000e+03 2.5319344337e+03 1.4065566288e+01
323 2.5900000000e+03 2.5917726142e+03 -1.7726142196e+00
324 2.5270000000e+03 2.6138051026e+03 -8.6805102571e+01
325 2.8810000000e+03 2.3613051779e+03 5.1969482206e+02
326 2.5330000000e+03 2.4770977557e+03 5.5902244266e+01
327 2.3670000000e+03 2.5368588064e+03 -1.6985880637e+02
328 2.4860000000e+03 2.5590238711e+03 -7.3023871116e+01
329 2.4630000000e+03 2.2965878583e+03 1.6641214171e+02
330 2.8060000000e+03 2.4246582620e+03 3.8134173802e+02
331 2.5210000000e+03 2.4843110161e+03 3.6688983922e+01
332 2.4960000000e+03 2.5065972076e+03 -1.0597207641e+01
333 2.4620000000e+03 2.2476200465e+03 2.1437995350e+02
334 2.4620000000e+03 2.3623411651e+03 9.9658834901e+01
335 2.7720000000e+03 2.4341699445e+03 3.3783005551e+02
336 2.4740000000e+03 2.4565621860e+03 1.7437814016e+01
337 2.4770000000e+03 2.2011457343e+03 2.7585426565e+02
338 2.3100000000e+03 2.3157507584e+03 -5.7507584342e+00
339 2.3160000000e+03 2.3741933840e+03 -5.8193383984e+01
340 2.7180000000e+03 2.4089372276e+03 3.0906277243e+02
341 2.3450000000e+03 2.1571745025e+03 1.8782549753e+02
342 2.3610000000e+03 2.2715796018e+03 8.9420398208e+01
343 2.4010000000e+03 2.3298743499e+03 7.1125650052e+01
344 2.3490000000e+03 2.3515710087e+03 -2.5710086707e+00
345 2.6970000000e+03 2.1156985739e+03 5.8130142612e+02
346 2.3730000000e+03 2.2298179876e+03 1.4318201238e+02
347 2.4570000000e+03 2.2879183436e+03 1.6908165636e+02
348 2.3550000000e+03 2.3097273396e+03 4.5272660432e+01
349 2.2950000000e+03 2.0647092987e+03 2.3029070125e+02
350 2.6400000000e+03 2.1904404209e+03 4.4955957912e+02
351 2.3380000000e+03 2.2482980828e+03 8.9701917220e+01
352 2.3590000000e+03 2.2701882448e+03 8.8811755248e+01
353 2.3320000000e+03 2.0291213301e+03 3.0287866987e+02
354 2.3270000000e+03 2.1416429085e+03 1.8535709152e+02
355 2.5930000000e+03 2.2109720630e+03 3.8202793695e+02
356 2.3650000000e+03 2.2329102790e+03 1.3208972103e+02
357 2.2110000000e+03 1.9958504807e+03 2.1514951926e+02
358 2.2100000000e+03 2.1078881643e+03 1.0211183571e+02
359 2.2140000000e+03 2.1643928591e+03 4.9607140901e+01
360 2.5740000000e+03 2.1978373760e+03 3.7616262396e+02
361 2.2200000000e+03 1.9648335506e+03 2.5516644939e+02
362 2.2300000000e+03 2.0762935896e+03 1.5370641045e+02
363 2.2290000000e+03 2.1324672248e+03 9.6532775198e+01
364 2.1560000000e+03 2.1537266944e+03 2.2733055977e+00
365 2.5410000000e+03 1.9359963503e+03 6.0500364966e+02
366 2.1790000000e+03 2.0467854043e+03 1.3221459572e+02
367 2.2810000000e+03 2.1025714803e+03 1.7842851969e+02
368 2.2180000000e+03 2.1238322276e+03 9.4167772400e+01
369 2.1540000000e+03 1.8984393988e+03 2.5556060120e+02
370 2.3510000000e+03 2.0192805486e+03 3.3171945142e+02
371 2.2210000000e+03 2.0746227202e+03 1.4637727984e+02
372 2.1170000000e+03 2.0958427269e+03 2.1157273069e+01
373 2.0730000000e+03 1.8746707107e+03 1.9832928931e+02
374 2.1530000000e+03 1.9832698323e+03 1.6973016771e+02
375 2.4540000000e+03 2.0485303550e+03 4.0546964501e+02
376 2.1310000000e+03 2.0696675276e+03 6.1332472360e+01
377 2.1450000000e+03 1.8527356612e+03 2.9226433882e+02
378 2.1090000000e+03 1.9604445188e+03 1.4855548121e+02
379 2.0220000000e+03 2.0142092782e+03 7.7907218490e+00
380 2.3800000000e+03 2.0452098119e+03 3.3479018805e+02
381 2.1180000000e+03 1.8325322128e+03 2.8546778719e+02
382 2.1030000000e+03 1.9392587968e+03 1.6374120316e+02
383 2.0820000000e+03 1.9924653581e+03 8.9534641946e+01
384 2.0560000000e+03 2.0128370528e+03 4.3162947204e+01
385 2.2320000000e+03 1.8139536632e+03 4.1804633683e+02
386 2.0830000000e+03 1.9196084984e+03 1.6339150157e+02
387 2.0320000000e+03 1.9722000970e+03 5.9799902972e+01
388 2.0050000000e+03 1.9924120797e+03 1.2587920269e+01
389 1.9680000000e+03 1.7878381801e+03 1.8016181986e+02
390 2.1980000000e+03 1.9013862157e+03 2.9661378433e+02
391 2.0200000000e+03 1.9533079316e+03 6.6692068433e+01
392 2.0120000000e+03 1.9733166865e+03 3.8683313516e+01
393 1.9750000000e+03 1.7730542991e+03 2.0194570090e+02
394 1.9740000000e+03 1.8759262398e+03 9.8073760226e+01
395 2.1680000000e+03 1.9356813167e+03 2.3231868333e+02
396 1.9790000000e+03 1.9554448059e+03 2.3555194060e+01
397 1.9430000000e+03 1.7594863857e+03 1.8351361431e+02
398 1.9560000000e+03 1.8610757228e+03 9.4924277189e+01
399 1.8790000000e+03 1.9111619720e+03 -3.2161971994e+01
400 2.1760000000e+03 1.9386895323e+03 2.3731046770e+02
401 2.0540000000e+03 1.7470239438e+03 3.0697605625e+02
402 1.8920000000e+03 1.8472506552e+03 4.4749344827e+01
403 1.9000000000e+03 1.8965511252e+03 3.4488748073e+00
404 1.9250000000e+03 1.9154063103e+03 9.5936896885e+00
405 2.1880000000e+03 1.7355567158e+03 4.5244328417e+02
406 1.9620000000e+03 1.8343448175e+03 1.2765518250e+02
407 2.0540000000e+03 1.8828107187e+03 1.7118928132e+02
408 1.8840000000e+03 1.9013372296e+03 -1.7337229599e+01
409 1.8920000000e+03 1.7179504363e+03 1.7404956373e+02
410 2.0700000000e+03 1.8222531606e+03 2.4774683944e+02
411 1.9560000000e+03 1.8698386614e+03 8.6161338629e+01
412 1.8420000000e+03 1.8879990899e+03 -4.5999089892e+01
413 1.8080000000e+03 1.7088807341e+03 9.9119265936e+01
414 1.8810000000e+03 1.8043560307e+03 7.6643969269e+01
415 2.0770000000e+03 1.8575348008e+03 2.1946519923e+02
416 1.8560000000e+03 1.8752941820e+03 -1.9294181988e+01
417 1.8150000000e+03 1.7004180385e+03 1.1458196149e+02
418 1.7580000000e+03 1.7942775241e+03 -3.6277524075e+01
419 1.8790000000e+03 1.8397852321e+03 3.9214767874e+01
420 2.0490000000e+03 1.8631273862e+03 1.8587261379e+02
421 1.7580000000e+03 1.6924647674e+03 6.5535232630e+01
422 1.8460000000e+03 1.7846474647e+03 6.1352535345e+01
423 1.7380000000e+03 1.8291777145e+03 -9.1177714505e+01
424 1.8000000000e+03 1.8458782952e+03 -4.5878295202e+01
425 2.0340000000e+03 1.6849265415e+03 3.4907345847e+02
426 1.8120000000e+03 1.7753762372e+03 3.6623762779e+01
427 1.8150000000e+03 1.8188935631e+03 -3.8935630533e+00
